Tweet;Date;Location;Source;
conexaopolitica castigo disse ainda bem natureza criou monstro chamado corona virus ;2022-06-06T01:25:03.000Z;Porto Alegre  RS ;Twitter for Android;
LulaOficial JanjaLula Tomara de falta ar quero ver vai repetir frase ainda bem natureza criou corona virus  esquece agradecer BOLSONARO comprado vacinas tomou ;2022-06-06T01:23:20.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
portalMSN  AINDA BEM NATUREZA CRIOU CORONA VIRUS  Frase Lula ;2022-06-06T01:22:22.000Z;Uberlandia Brasil ;Twitter for Android;
MarceloFreixo LulaOficial JanjaLula Ainda bem Natureza criou monstro chamado Corona Virus forca corona ;2022-06-06T01:19:24.000Z;Brasil ;Twitter for Android;
acho corona virus ta flopado ja  ;2022-06-06T01:08:30.000Z; ;Twitter Web App;
bellanna agradeceu natureza enviado corona virus ;2022-06-06T01:06:35.000Z;Paulo ;Twitter for Android;
Poder360 LulaOficial JanjaLula frase conhecida Ainda bem ainda bem natureza criou monstro chamado Corona Virus  LulaOficial agora Mostroencontrou hospedeiro quele enalteceu enquanto pessoas morriam Brasil excesso Estadios falta hospitais ;2022-06-06T01:04:52.000Z;Estados Unidos ;Twitter for iPhone;
corona virus totalmente afobico deixando aroace doente pleno mes orgulho ;2022-06-06T01:04:07.000Z;Elaele ;Twitter for Android;
Lula covid  Gracas DEUS deve estar bem vacinado 4 doses AMEM  acha natureza criou corona virus deve estar bem tranquilo  passa  ainda bem ta saida un garoto atividade sexual vamos preocupar  ;2022-06-06T01:03:08.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
Lula Janja diagnosticados COVID fim COVID Corona Virus saira dessa ;2022-06-06T01:00:43.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
Ahhh pobre Corona virus virus pegando outro ;2022-06-06T00:59:03.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
Ainda bem natureza criou corona virus Pois e ;2022-06-06T00:57:03.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
leticiacanellas PauloMartins10 Ainda bem natureza criou mostro Corona virus Silva Lula ;2022-06-06T00:55:38.000Z;LOCALIZACAO NAO INFORMADA;Twitter for iPhone;
LulaOficial JanjaLula Ainda bem natureza contra vontade humanidade criou monstro chamado Corona virus  Palavras Luladrao Silva ;2022-06-06T00:55:01.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
flferronato Pena tao pegando agora tao forte deltaque queria ver falta ar falando queainda bem natureza criou corona virus  ;2022-06-06T00:54:05.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
vilacaramon HenriqueLorenzo itatiaia presidiario ladrao quadrilheiro corruptor mente lesadas disse ainda bem natureza criou monstro corona virus ;2022-06-06T00:53:55.000Z;Brasil ;Twitter for Android;
LulaOficial JanjaLula Ainda bem natureza criou mostro chamado corona virus Falas ladrao Condenado  ;2022-06-06T00:49:46.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
randolfeap LulaOficial JanjaLula Ainda bem natureza criou monstro chamado Corona Virus by Lula Silva peca empatia senador ;2022-06-06T00:49:00.000Z;Rio Janeiro ;Twitter for Android;
UOLNoticias disse Ainda bem natureza criou mostro chamado corona virus ;2022-06-06T00:48:50.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
sanaxen Teddy trabalha YGE 2 anos enquanto Twice distribuindo corona virus Coreia Sul fav sim assistindo desfile despreocupada pq sabe voltar atividades tanto grupo quanto individual vai hit mesmo ;2022-06-06T00:45:25.000Z;dormindo ;Twitter for Android;
BrazilFight Gracas Deus natureza criou corona virus Lula ;2022-06-06T00:44:25.000Z;Bom Jesus ItabapoanaRJ ;Twitter for Android;
elogiou natureza corona virus conseguem morrer ;2022-06-06T00:43:31.000Z;Nova Iguacu Brasil ;Twitter for Android;
virus disse Ainda bem natureza criou monstro chamado Corona virus felizes Corona virus exaltou pena Corona virus matou tantos inocentes deixando tantos politicos pilantras safados vivos vida ;2022-06-06T00:40:13.000Z;Rio Janeiro Brasil ;Twitter for Android;
LulaOficial JanjaLula AINDA BEM NATUREZA CRIOU CORONA VIRUS ;2022-06-06T00:38:37.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
LulaOficial JanjaLula AINDA BEM NATUREZA CRIOU CORONA VIRUS VERME ;2022-06-06T00:35:47.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
valoreconomico Agora provado cachaceiro pega corona virus Talvez cachaceiros tomam cachaca 70 graus indice alcoolico fique imune virus  ;2022-06-06T00:33:41.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
PauloPMSs Ainda bem natureza criou virus chamado corona virus Agora vai Viagra51energeticovirus  ;2022-06-06T00:31:16.000Z;RSBRASIL ;Twitter Web App;
revistaoeste Coitado virus contagiou Lul RIP Corona Virus  ;2022-06-06T00:30:10.000Z;Recife Brasil ;Twitter for Android;
expresidente Lula esposa diagnosticados covid19 isolados ;2022-06-06T00:25:15.000Z;Brasil ;TweetDeck;
Ainda bem ainda bem natureza criou ministro chamado Corona Virus   frase LulaOficial  ;2022-06-06T00:24:56.000Z;Estados Unidos ;Twitter for iPhone;
JessicaSeferin Ainda bem natureza criou monstros chamado corona virus silva Luis Inacio ;2022-06-06T00:23:00.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
UrbanNathalia JanjaLula Ainda bem q natureza criou monstro chamado corona virus silva Luis Inacio ;2022-06-06T00:20:15.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
posso postar frase desse imbecil Ainda bem natureza natureza criou monstro chamado corona virus ;2022-06-06T00:19:46.000Z;Paulo Brasil ;Twitter for Android;
RdGuaibaOficial acredito corona virus pegou Lula coitado ;2022-06-06T00:18:44.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
BrazilFight Ainda bem natureza criou corona virus Lula ;2022-06-06T00:04:01.000Z;Primavera Leste Brasil ;Twitter Web App;
LulaOficial JanjaLula Lembrando daquela frase ainda bem natureza criou CORONAVIRUS  e ta SUS ;2022-06-06T00:01:30.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
oantagonista Ainda bem natureza criou corona virus Lula ;2022-06-05T23:57:06.000Z;Primavera Leste Brasil ;Twitter Web App;
DeputadoFederal LulaOficial JanjaLula Ainda bem natureza criou corona virus Lula ;2022-06-05T23:55:52.000Z;Primavera Leste Brasil ;Twitter Web App;
Melhoras nine Corona virus contrai looooola virus passa bem ;2022-06-05T23:54:47.000Z;Ceara Brasil ;Twitter for Android;
LulaOficial JanjaLula Ainda bem natureza criou corona virus Lula ;2022-06-05T23:54:29.000Z;Primavera Leste Brasil ;Twitter Web App;
Joaquinteixeiro Ainda bem natureza criou monstro chamado corona virus Luiz Inacio Lula Silva ;2022-06-05T23:51:59.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
China mandou corona virus ca gente podia mandar Bolsonaro la Cada manda praga ;2022-06-05T23:51:59.000Z;LOCALIZACAO NAO INFORMADA;Twitter for iPhone;
makecabuloso leonardo1opes sei vc reparou guerra dois paises europa crise saude publica mundial tal corona virus deve ouvido falar ne ;2022-06-05T23:48:00.000Z;LOCALIZACAO NAO INFORMADA;Twitter Web App;
CNNBrasil Pobre corona virus ;2022-06-05T23:37:37.000Z;Caxias Sul Brasil ;Twitter for iPhone;
CNNBrasil dizia Corona Virus bencao humanidade isso ;2022-06-05T23:28:07.000Z;Niteroi Brasil ;Twitter for iPhone;
Voltando sapinho herpes corona virus 5 doencas desconhecidas ;2022-06-05T23:09:19.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
Lincoln FNX Lau 182 30 Anos idade Mestico Chines 22 regua 6 Mundial 5 Panamericano 4 BBB 3 Banheira gugu 2 Soletrando 3 Fazenda 3 Pelados floripa 7 DNA ratinho 2 Selinhos mazzafera 1 ferias ex 2 corona virus 58 Dsts confia pega  ;2022-06-05T23:05:56.000Z;barril ;Twitter for Android;
bastasse corona virusagora vem espalhando mundo peste variola macacosque pode contraida contato intimoque foda Vamos cuidar galera ;2022-06-05T22:47:40.000Z;Taguatinga Brasilia ;Twitter for Android;
fiz outro teste covid pq tava acreditando deu positivo parabens corona virus ;2022-06-05T22:37:14.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
DaianeMels correto Assim outras tantas pandemia espalhadas mundo virus vindos China Covid 19 porem politicos tao canalhas caso Corona Virus tentando responsabilizar Presidente minar recursos Uniao governo ;2022-06-05T21:39:05.000Z;Mato GrossoMT  Brasil ;Twitter for Android;
nome cobra Corona Virus gritei ;2022-06-05T21:25:39.000Z;LOCALIZACAO NAO INFORMADA;Twitter for iPhone;
TNTSportsBR Russia China tao entrando lista nacoes repugnantes historia mundo civilizado China criou corona virus Russia comecou guerra razao alguma FORCA UCRANIA FORCA UCRANIANOS ;2022-06-05T21:23:12.000Z;Piaui Brasil ;Twitter for Android;
corona virus desculpa n Fernanda ;2022-06-05T21:12:10.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
corona virus fudeu flamengo ta ganhando tudo hoje JJ virus canalha ;2022-06-05T20:57:51.000Z;Luis Brasil ;Twitter for Android;
LuhBramos  chuva raio corona virus ;2022-06-05T20:48:13.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
BolsonaroSP BoletimCoppolla caio coppolla n esperto q disse q corona virus ia matar menos gente q numeros mortos engasgados ano ;2022-06-05T20:10:39.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
LulaOficial Ue vc disseainda bem natureza criou Corona virus  ;2022-06-05T19:49:12.000Z;Guararema ;Twitter for Android;
achei q vecna nova variante corona virus ;2022-06-05T19:09:13.000Z;LOCALIZACAO NAO INFORMADA;Twitter for iPhone;
corona virus nao suportou 1 dia corpo ja embora faco mal q fe ;2022-06-05T17:04:15.000Z;coracao ;Twitter for Android;
ilyskira gracas deus aqui nao tal corona virus ai ;2022-06-05T16:50:17.000Z;Santa Catarina Brasil ;Twitter for Android;
GloboNews atual governo CORONA VIRUS existe vacina presta mascara precisa bobosonaristas  mundo criou FAKE derrubar governo brasileiro damos camisa forca interna povo  ;2022-06-05T16:07:57.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
senadorhumberto 4 doses pegou corona virus Sintomas leves Ue virus sintomas leves empanturrei vacinas To confusa  ;2022-06-05T15:48:15.000Z;LOCALIZACAO NAO INFORMADA;Twitter Web App;
Eita espetada buchos vagabundos bosoboys ineptosoportunistas playboys politicos dad viajador acumulando RACHADAO via Cartao Corporativo  piores Corona Virus  ForaBolsonaroeSuaQuadrilha ;2022-06-05T15:33:48.000Z;LOCALIZACAO NAO INFORMADA;Twitter for iPhone;
Douglas86736732 seguir algumas frases genocida homofobico machista etcAinda bem natureza criou corona virus  Pelotas cidade exportadora viado As mulheres duro partido Eu vou enganar povo brasileiro vez TODAS FRASES LULA ;2022-06-05T14:33:42.000Z;Maranhao Brasil ;Twitter for Android;
corona virus erradicado ne mercado lotado 2 pessoas mascara ;2022-06-05T13:01:52.000Z;LOCALIZACAO NAO INFORMADA;Twitter for iPhone;
Made in China  Corona virus  brinde ;2022-06-05T07:44:38.000Z;LOCALIZACAO NAO INFORMADA;Twitter Web App;
Corona virus renasceu festa morgana ;2022-06-05T06:50:56.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
LEWlSFAVS qo corona virus n acaba ;2022-06-05T05:51:41.000Z;Afrolatina  pteng ;Twitter for Android;
MariaCr27033712 DavidWilliamtri BLOGDOMENON Seriopara roubo condenacao ai pastor burros fala he mentira pronto Palocci outros meio admitiram corona virus entro metido  Pesquisa ai sobre STF municipios estado ;2022-06-05T04:27:21.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
IcedRose1979 Antigamente comiamos Corona virus ninguem adoecia ;2022-06-05T03:56:30.000Z;LOCALIZACAO NAO INFORMADA;Twitter Web App;
i gracas deus dengue dengue hemorragica naum corona virus naum  ;2022-06-05T02:35:37.000Z;Parana ;Twitter for Android;
CasteloCraft Arthurd04006319 Corona virus ;2022-06-05T02:35:19.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
swhaiz nasceu causou morte dinossauros primeira segunda guerra mundial crise fome guerra Ucrania russa n4zism0 corona virus gripe suina hpv cancer dengue ;2022-06-05T02:07:44.000Z; black widow sisters ;Twitter for Android;
GomesSolitario Comprar corona virus ;2022-06-05T01:20:11.000Z;LOCALIZACAO NAO INFORMADA;Twitter for iPhone;
pais sobrevive Dilma PT pandemia corona virus guerra Ucrania  Brasileiro povo foda politicos judiciario menos safados pouco educacao imbativeis ;2022-06-04T23:49:51.000Z;Ribeirao Preto  Brasil ;Twitter Web App;
casos corona virus ta aumentando novo  ;2022-06-04T22:47:03.000Z;LOCALIZACAO NAO INFORMADA;Twitter Web App;
carioca hj chegou museu dizendo q Europa corona virus perguntou pq pandemia ainda n acabado aqui ;2022-06-04T22:24:35.000Z;Luis Brasil ;Twitter for Android;
lipaxlovato dissemina corona virus ;2022-06-04T21:45:05.000Z;Jacarepagua Rio Janeiro ;Twitter for iPhone;
porque liberaram geral mascara  variantes novas corona virus sindrome respiratoria  ;2022-06-04T21:20:49.000Z;SabaraMinas Gerais ;Twitter Web App;
Sigo invicto pegar Corona virus ;2022-06-04T21:07:39.000Z;Curitiba  PR ;Twitter for Android;
paulusminus matheusvm00 Neide76918974 LeSarturiP Quer fazer teste mascara panos Quer fazer pessoalmente quer video chineses lidando Corona virus ;2022-06-04T20:47:18.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
Ressaca corona virus ;2022-06-04T20:44:31.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
Corona Virus Covid19 Neurociencia sistema imune conscientizacao ;2022-06-04T20:34:56.000Z;Paulo ;Twitter Web App;
amiga ta louquinha ficar comigo Deu print foto perfil conversivel Sabe cor caminho condominio Peguei todo mundo peguei Corona Virus ;2022-06-04T19:15:25.000Z;eterno Paul walker kevin ;Twitter for Android;
corona virus praga inferno ;2022-06-04T18:56:54.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
Corona virus bolsonaro odeio ;2022-06-04T18:31:29.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
cara falando corona virus existe pessoas morrem causa MEDO to passando mal ;2022-06-04T18:29:01.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
corona virus muita dor corpo  ;2022-06-04T18:01:14.000Z;Muriae Brasil ;Twitter for Android;
Segunda Feira 06 volta obrigatorio uso mascaras Pernambuco pqp vai foder corona virus odio ;2022-06-04T16:30:14.000Z;casa Krl pertubacao ;Twitter for Android;
sucumba corona virus  ;2022-06-04T16:24:53.000Z;BH ;Twitter for Android;
vivicovid cadelagem uniu corona virus separa ;2022-06-04T16:22:50.000Z;Brazil ;Twitter for Android;
Entendi incluir pobre conhecimento deve chamar corona virus virus chines ;2022-06-04T15:33:23.000Z;Paulo ;Twitter Web App;
causa dessss pessoas q corona virus disseminou tao rapido  ;2022-06-04T15:17:05.000Z;LOCALIZACAO NAO INFORMADA;Twitter for iPhone;
corona virus chegou penso nisso frequentemente ;2022-06-04T13:39:21.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
ir escola melhor ir festa junina tia la corona virus primo ta indo la vai escola ;2022-06-04T13:34:23.000Z;votorantim ;Twitter Web App;
Liviae10 jairbolsonaro ainda bem natureza criou corona virus Luladrao ;2022-06-04T12:01:07.000Z;Rio Janeiro ;Twitter for Android;
Brasil Crescendo 10 apos corona virus guerra Mito matheusbraga679 TikTok ;2022-06-04T06:37:06.000Z;Brasil SPaulo ;Twitter for Android;
to exatamente assim obrigado corona virus ;2022-06-04T06:29:23.000Z;LOCALIZACAO NAO INFORMADA;Twitter for Android;
euozant Irmao beijei 15 pessoas vida inteira mina coletou 72 babas diferentes noite corona virus brincadeira sistema imunologico desse ;2022-06-04T05:22:24.000Z;LOCALIZACAO NAO INFORMADA;Twitter for iPhone;
